Contabilidad,Ingles,Leng. Castellana,C. Naturales,Tecn. E informatica,Matematicas
3.6,3.9,3.6,3.6,3.6,3.8
3.4,3.9,3.8,4,4.2,3.7
3.8,4,3.9,3.9,4.5,4
4.3,4.3,4.5,4.1,4.9,4.2
4.3,4.5,4.3,4.1,4.8,4
3.2,3.4,4.1,4,4.3,3.9
4.4,4.3,4.7,4.2,4.7,4
3.5,3.7,3.3,4.1,4.2,3.8
3.2,3.8,3.6,3.8,4.3,4
3.6,3.9,3.9,3.9,3.9,3.9
3.7,3.9,4.3,4.3,4.6,4
3.7,4,3.9,4,4.8,4.1
3.5,3.2,4.6,4.4,4.3,3.9
3.3,4.1,4.9,4.4,4.4,4.1
3.5,3.6,3.6,3.6,4.7,3.8
4.1,4.1,4.1,3.8,4.6,4
3.5,3.9,4.9,4.3,4.3,3.9
3.7,4,3.5,4.1,4.6,4.1
3.7,3.9,4.5,4.3,4.4,4
3.3,3.1,3.6,3.6,3.9,4.1
3.8,4.4,3.5,4,4.2,4
3.4,4.1,4.7,4.3,4.5,4
3.9,4.5,4.8,4.1,4.6,4.3
3.9,4.1,4,4.2,4.5,4.3
3.6,4,3.6,3.9,4.4,3.9
3.4,3.4,3.6,3.9,4.7,3.8
3.7,3.8,3.5,4,4.3,3.9
3.7,3.4,3.2,3.6,4.3,3.9
4.9,4.3,4.8,4,4.8,4.1
4.2,4.2,4.6,4.2,4.6,3.8
4,4.2,3.9,4,4.2,3.9
3.7,4,3.8,3.9,4.7,4.4
3.9,3.8,4.6,3.8,3.7,4.2
